Time,Channel A
(ms),(mV)

14.35647991,-3.74767300
14.36159991,-1.89214800
14.36671991,-1.89214800
14.37183991,1.81890300
14.37695991,3.67442800
14.38207991,5.52995400
14.38719991,1.81890300
14.39231991,-0.03662221
14.39743991,-1.89214800
14.40255991,-5.60319800
14.40767991,1.81890300
14.41279991,3.67442800
14.41791991,1.81890300
14.42303991,7.38547900
14.42815991,1.81890300
14.43327991,1.81890300
14.43839991,-5.60319800
14.44351991,-0.03662221
14.44863991,5.52995400
14.45375991,1.81890300
14.45887991,5.52995400
14.46399991,1.81890300
14.46911991,-3.74767300
14.47423991,-9.31424900
14.47935991,1.81890300
14.48447991,1.81890300
14.48959991,-1.89214800
14.49471991,11.09653000
14.49983991,-0.03662221
14.50495991,-1.89214800
14.51007991,-1.89214800
14.51519991,-1.89214800
14.52031991,5.52995400
14.52543991,5.52995400
14.53055991,3.67442800
14.53567991,-1.89214800
14.54079991,5.52995400
14.54591991,-7.45872400
14.55103991,-9.31424900
14.55615991,1.81890300
14.56127991,5.52995400
14.56639991,5.52995400
14.57151991,1.81890300
14.57663991,1.81890300
14.58175991,1.81890300
14.58687991,1.81890300
14.59199991,-1.89214800
14.59711991,1.81890300
14.60223991,11.09653000
14.60735991,-1.89214800
14.61247991,-1.89214800
14.61759991,-1.89214800
14.62271991,-5.60319800
14.62783991,1.81890300
14.63295991,1.81890300
14.63807991,5.52995400
14.64319991,1.81890300
14.64831991,1.81890300
14.65343991,-0.03662221
14.65855991,-1.89214800
14.66367991,-3.74767300
14.66879991,-0.03662221
14.67391991,9.24100500
14.67903991,1.81890300
14.68415991,-0.03662221
14.68927991,-1.89214800
14.69439991,-3.74767300
14.69951991,-1.89214800
14.70463991,-1.89214800
14.70975991,5.52995400
14.71487991,5.52995400
14.71999991,-1.89214800
14.72511991,1.81890300
14.73023991,-1.89214800
14.73535991,3.67442800
14.74047991,1.81890300
14.74559991,1.81890300
14.75071991,5.52995400
14.75583991,5.52995400
14.76095991,-5.60319800
14.76607991,-7.45872400
14.77119991,-1.89214800
14.77631991,3.67442800
14.78143991,5.52995400
14.78655991,3.67442800
14.79167991,1.81890300
14.79679991,-1.89214800
14.80191991,-1.89214800
14.80703991,-1.89214800
14.81215991,3.67442800
14.81727991,-3.74767300
14.82239991,7.38547900
14.82751991,5.52995400
14.83263991,-5.60319800
14.83775991,-5.60319800
14.84287991,-0.03662221
14.84799991,-0.03662221
14.85311991,1.81890300
14.85823991,5.52995400
14.86335991,1.81890300
14.86847991,5.52995400
14.87359991,-1.89214800
14.87871991,-5.60319800
14.88383991,3.67442800
14.88895991,1.81890300
14.89407991,3.67442800
14.89919991,5.52995400
14.90431991,1.81890300
14.90943991,-3.74767300
14.91455991,-1.89214800
14.91967991,-3.74767300
14.92479991,5.52995400
14.92991991,1.81890300
14.93503991,7.38547900
14.94015991,1.81890300
14.94527991,-1.89214800
14.95039991,-1.89214800
14.95551991,-1.89214800
14.96063991,3.67442800
14.96575991,-0.03662221
14.97087991,5.52995400
14.97599991,5.52995400
14.98111991,-9.31424900
14.98623991,-5.60319800
14.99135991,1.81890300
14.99647991,3.67442800
15.00159991,-1.89214800
15.00671991,5.52995400
15.01183991,5.52995400
15.01695991,-0.03662221
15.02207991,-3.74767300
15.02719991,-1.89214800
15.03231991,3.67442800
15.03743991,7.38547900
15.04255991,5.52995400
15.04767991,-1.89214800
15.05279991,-0.03662221
15.05791991,-1.89214800
15.06303991,-3.74767300
15.06815991,-1.89214800
15.07327991,-0.03662221
15.07839991,5.52995400
15.08351991,3.67442800
15.08863991,-0.03662221
15.09375991,1.81890300
15.09887991,-3.74767300
15.10399991,-0.03662221
15.10911991,5.52995400
15.11423991,5.52995400
15.11935991,1.81890300
15.12447991,5.52995400
15.12959991,-7.45872400
15.13471991,-5.60319800
15.13983991,5.52995400
15.14495991,-0.03662221
15.15007991,1.81890300
15.15519991,7.38547900
15.16031991,1.81890300
15.16543991,-5.60319800
15.17055991,-5.60319800
15.17567991,5.52995400
15.18079991,3.67442800
15.18591991,1.81890300
15.19103991,3.67442800
15.19615991,1.81890300
15.20127991,-0.03662221
15.20639991,-7.45872400
15.21151991,-0.03662221
15.21663991,3.67442800
15.22175991,-3.74767300
15.22687991,7.38547900
15.23199991,5.52995400
15.23711991,-3.74767300
15.24223991,-7.45872400
15.24735991,1.81890300
15.25247991,5.52995400
15.25759991,-1.89214800
15.26271991,3.67442800
15.26783991,12.95205000
15.27295991,-5.60319800
15.27807991,-9.31424900
15.28319991,1.81890300
15.28831991,3.67442800
15.29343991,-1.89214800
15.29855991,1.81890300
15.30367991,5.52995400
15.30879991,-0.03662221
15.31391991,-5.60319800
15.31903991,-1.89214800
15.32415991,3.67442800
15.32927991,1.81890300
15.33439991,1.81890300
15.33951991,3.67442800
15.34463991,-1.89214800
15.34975991,-1.89214800
15.35487991,-5.60319800
15.35999991,5.52995400
15.36511991,3.67442800
15.37023991,1.81890300
15.37535991,5.52995400
15.38047991,5.52995400
15.38559991,-3.74767300
15.39071991,-5.60319800
15.39583991,5.52995400
15.40095991,1.81890300
15.40607991,-1.89214800
15.41119991,5.52995400
15.41631991,1.81890300
15.42143991,-7.45872400
15.42655991,-5.60319800
15.43167991,3.67442800
15.43679991,-1.89214800
15.44191991,1.81890300
15.44703991,7.38547900
15.45215991,-1.89214800
15.45727991,-0.03662221
15.46239991,-5.60319800
15.46751991,3.67442800
15.47263991,1.81890300
15.47775991,-1.89214800
15.48287991,7.38547900
15.48799991,1.81890300
15.49311991,-3.74767300
15.49823991,-5.60319800
15.50335991,-1.89214800
15.50847991,3.67442800
15.51359991,1.81890300
15.51871991,3.67442800
15.52383991,1.81890300
15.52895991,-0.03662221
15.53407991,-3.74767300
15.53919991,1.81890300
15.54431991,-0.03662221
15.54943991,3.67442800
15.55455991,5.52995400
15.55967991,-1.89214800
15.56479991,1.81890300
15.56991991,-3.74767300
15.57503991,-5.60319800
15.58015991,1.81890300
15.58527991,1.81890300
15.59039991,5.52995400
15.59551991,3.67442800
15.60063991,-3.74767300
15.60575991,1.81890300
15.61087991,-1.89214800
15.61599991,-1.89214800
15.62111991,1.81890300
15.62623991,5.52995400
15.63135991,5.52995400
15.63647990,-1.89214800
15.64159990,-7.45872400
15.64671990,-0.03662221
15.65183990,-0.03662221
15.65695990,-1.89214800
15.66207990,1.81890300
15.66719990,3.67442800
15.67231990,5.52995400
15.67743990,-3.74767300
15.68255990,-1.89214800
15.68767990,3.67442800
15.69279990,-1.89214800
15.69791990,3.67442800
15.70303990,7.38547900
15.70815990,-1.89214800
15.71327990,-9.31424900
15.71839990,-1.89214800
15.72351990,-0.03662221
15.72863990,1.81890300
15.73375990,5.52995400
15.73887990,5.52995400
15.74399990,3.67442800
15.74911990,-1.89214800
15.75423990,1.81890300
15.75935990,-3.74767300
15.76447990,3.67442800
15.76959990,-1.89214800
15.77471990,3.67442800
15.77983990,1.81890300
15.78495990,-3.74767300
15.79007990,-5.60319800
15.79519990,-1.89214800
15.80031990,1.81890300
15.80543990,1.81890300
15.81055990,1.81890300
15.81567990,5.52995400
15.82079990,7.38547900
15.82591990,-9.31424900
15.83103990,1.81890300
15.83615990,7.38547900
15.84127990,-5.60319800
15.84639990,7.38547900
15.85151990,3.67442800
15.85663990,-0.03662221
15.86175990,-9.31424900
15.86687990,-5.60319800
15.87199990,3.67442800
15.87711990,-1.89214800
15.88223990,3.67442800
15.88735990,5.52995400
15.89247990,5.52995400
15.89759990,1.81890300
15.90271990,-7.45872400
15.90783990,3.67442800
15.91295990,5.52995400
15.91807990,-3.74767300
15.92319990,5.52995400
15.92831990,5.52995400
15.93343990,-7.45872400
15.93855990,-3.74767300
15.94367990,-3.74767300
15.94879990,1.81890300
15.95391990,1.81890300
15.95903990,5.52995400
15.96415990,1.81890300
15.96927990,-0.03662221
15.97439990,-5.60319800
15.97951990,-0.03662221
15.98463990,5.52995400
15.98975990,-1.89214800
15.99487990,9.24100500
15.99999990,3.67442800
16.00511990,-3.74767300
16.01023990,-5.60319800
16.01535990,-1.89214800
16.02047990,1.81890300
16.02559990,-1.89214800
16.03071990,3.67442800
16.03583990,3.67442800
16.04095990,-1.89214800
16.04607990,-3.74767300
